space,held_out,label,substrate,metric,silhouette
derivative_input,Ag,4np,pSERS,chemical label,0.2934849262237549
derivative_input,Ag,4np,pSERS,substrate,0.14904369413852692
derivative_input,Ag,4np,pSERS,chemical label,0.2881612181663513
derivative_input,Ag,4np,pSERS,substrate,0.13521374762058258
derivative_input,Ag,4np,pSERS,chemical label,0.286501407623291
derivative_input,Ag,4np,pSERS,substrate,0.0997379720211029
derivative_input,Ag,4np,pSERS,chemical label,0.2592542767524719
derivative_input,Ag,4np,pSERS,substrate,0.03672743961215019
derivative_input,Ag,4np,pSERS,chemical label,0.315209299325943
derivative_input,Ag,4np,pSERS,substrate,0.07770989090204239
derivative_input,Ag,4np,pSERS,chemical label,0.2922121584415436
derivative_input,Ag,4np,pSERS,substrate,0.1537448763847351
derivative_input,Ag,4np,pSERS,chemical label,0.3051917254924774
derivative_input,Ag,4np,pSERS,substrate,0.11125733703374863
derivative_input,Ag,4np,pSERS,chemical label,0.28334370255470276
derivative_input,Ag,4np,pSERS,substrate,0.14016041159629822
derivative_input,Ag,4np,pSERS,chemical label,0.25941285490989685
derivative_input,Ag,4np,pSERS,substrate,0.09907491505146027
derivative_input,Ag,4np,pSERS,chemical label,0.29984599351882935
derivative_input,Ag,4np,pSERS,substrate,0.10071864724159241
derivative_input,Ag,4np,pSERS,chemical label,0.2911671996116638
derivative_input,Ag,4np,pSERS,substrate,0.12054891139268875
derivative_input,Ag,4np,pSERS,chemical label,0.2870000898838043
derivative_input,Ag,4np,pSERS,substrate,0.13797450065612793
derivative_input,Ag,4np,pSERS,chemical label,0.28030145168304443
derivative_input,Ag,4np,pSERS,substrate,0.08120676130056381
derivative_input,Ag,4np,pSERS,chemical label,0.13162384927272797
derivative_input,Ag,4np,pSERS,substrate,0.008304418995976448
derivative_input,Ag,4np,pSERS,chemical label,0.3080463707447052
derivative_input,Ag,4np,pSERS,substrate,0.12291423976421356
derivative_input,Ag,4np,pSERS,chemical label,0.27775976061820984
derivative_input,Ag,4np,pSERS,substrate,0.08187173306941986
derivative_input,Ag,4np,pSERS,chemical label,0.3020634651184082
derivative_input,Ag,4np,pSERS,substrate,0.1232190653681755
derivative_input,Ag,4np,pSERS,chemical label,0.28543606400489807
derivative_input,Ag,4np,pSERS,substrate,0.1329614818096161
derivative_input,Ag,4np,pSERS,chemical label,0.2849208116531372
derivative_input,Ag,4np,pSERS,substrate,0.1276177167892456
derivative_input,Ag,4np,pSERS,chemical label,0.2934562861919403
derivative_input,Ag,4np,pSERS,substrate,0.10447079688310623
derivative_input,Ag,4np,pSERS,chemical label,0.2820036709308624
derivative_input,Ag,4np,pSERS,substrate,0.04853616654872894
derivative_input,Ag,4np,pSERS,chemical label,0.290248304605484
derivative_input,Ag,4np,pSERS,substrate,0.1277039349079132
derivative_input,Ag,4np,pSERS,chemical label,0.29176726937294006
derivative_input,Ag,4np,pSERS,substrate,0.13223613798618317
derivative_input,Ag,4np,pSERS,chemical label,0.29744577407836914
derivative_input,Ag,4np,pSERS,substrate,0.1264108568429947
derivative_input,Ag,4np,pSERS,chemical label,0.2893088459968567
derivative_input,Ag,4np,pSERS,substrate,0.15818047523498535
derivative_input,Ag,benzenethiol,pSERS,chemical label,0.4694966971874237
derivative_input,Ag,benzenethiol,pSERS,substrate,0.03671025484800339
derivative_input,Ag,benzenethiol,pSERS,chemical label,0.491073340177536
derivative_input,Ag,benzenethiol,pSERS,substrate,0.051912758499383926
derivative_input,Ag,benzenethiol,pSERS,chemical label,0.4882897138595581
derivative_input,Ag,benzenethiol,pSERS,substrate,0.035855188965797424
derivative_input,Ag,benzenethiol,pSERS,chemical label,0.48563113808631897
derivative_input,Ag,benzenethiol,pSERS,substrate,0.038510385900735855
derivative_input,Ag,benzenethiol,pSERS,chemical label,0.4322885274887085
derivative_input,Ag,benzenethiol,pSERS,substrate,-0.021682217717170715
derivative_input,Ag,benzenethiol,pSERS,chemical label,0.48977774381637573
derivative_input,Ag,benzenethiol,pSERS,substrate,0.05570609122514725
derivative_input,Ag,benzenethiol,pSERS,chemical label,0.4918234348297119
derivative_input,Ag,benzenethiol,pSERS,substrate,0.03862924873828888
derivative_input,Ag,benzenethiol,pSERS,chemical label,0.49173590540885925
derivative_input,Ag,benzenethiol,pSERS,substrate,0.043365977704524994
derivative_input,Ag,benzenethiol,pSERS,chemical label,0.48402029275894165
derivative_input,Ag,benzenethiol,pSERS,substrate,0.04676370695233345
derivative_input,Ag,benzenethiol,pSERS,chemical label,0.4880349040031433
derivative_input,Ag,benzenethiol,pSERS,substrate,0.04249490424990654
derivative_input,Ag,benzenethiol,pSERS,chemical label,0.4807840883731842
derivative_input,Ag,benzenethiol,pSERS,substrate,0.04046892747282982
derivative_input,Ag,benzenethiol,pSERS,chemical label,0.48324307799339294
derivative_input,Ag,benzenethiol,pSERS,substrate,0.04648972675204277
derivative_input,Ag,benzenethiol,pSERS,chemical label,0.4875029921531677
derivative_input,Ag,benzenethiol,pSERS,substrate,0.03758007660508156
derivative_input,Ag,benzenethiol,pSERS,chemical label,0.49213001132011414
derivative_input,Ag,benzenethiol,pSERS,substrate,0.04625795781612396
derivative_input,Ag,benzenethiol,pSERS,chemical label,0.4924662411212921
derivative_input,Ag,benzenethiol,pSERS,substrate,0.0433925986289978
derivative_input,Ag,benzenethiol,pSERS,chemical label,0.49139291048049927
derivative_input,Ag,benzenethiol,pSERS,substrate,0.04775825887918472
derivative_input,Ag,benzenethiol,pSERS,chemical label,0.48317065834999084
derivative_input,Ag,benzenethiol,pSERS,substrate,0.04869797080755234
derivative_input,Ag,benzenethiol,pSERS,chemical label,0.48833078145980835
derivative_input,Ag,benzenethiol,pSERS,substrate,0.043103136122226715
derivative_input,Ag,benzenethiol,pSERS,chemical label,0.47819119691848755
derivative_input,Ag,benzenethiol,pSERS,substrate,0.05038147792220116
derivative_input,Ag,benzenethiol,pSERS,chemical label,0.4878624975681305
derivative_input,Ag,benzenethiol,pSERS,substrate,0.04926493018865585
derivative_input,Ag,benzenethiol,pSERS,chemical label,0.46676379442214966
derivative_input,Ag,benzenethiol,pSERS,substrate,0.01691364496946335
derivative_input,Ag,benzenethiol,pSERS,chemical label,0.4778670072555542
derivative_input,Ag,benzenethiol,pSERS,substrate,0.0439414344727993
derivative_input,Ag,benzenethiol,pSERS,chemical label,0.4897126257419586
derivative_input,Ag,benzenethiol,pSERS,substrate,0.05459396168589592
derivative_input,Ag,benzenethiol,pSERS,chemical label,0.48681941628456116
derivative_input,Ag,benzenethiol,pSERS,substrate,0.04094310849905014
derivative_input,Ag,benzenethiol,pSERS,chemical label,0.4899882972240448
derivative_input,Ag,benzenethiol,pSERS,substrate,0.05174427852034569
derivative_input,Ag,pyridine,pSERS,chemical label,0.41550740599632263
derivative_input,Ag,pyridine,pSERS,substrate,0.13193148374557495
derivative_input,Ag,pyridine,pSERS,chemical label,0.41294145584106445
derivative_input,Ag,pyridine,pSERS,substrate,0.11511289328336716
derivative_input,Ag,pyridine,pSERS,chemical label,0.4112356901168823
derivative_input,Ag,pyridine,pSERS,substrate,0.14426271617412567
derivative_input,Ag,pyridine,pSERS,chemical label,0.38977062702178955
derivative_input,Ag,pyridine,pSERS,substrate,0.09091699868440628
derivative_input,Ag,pyridine,pSERS,chemical label,0.4151764214038849
derivative_input,Ag,pyridine,pSERS,substrate,0.14711005985736847
derivative_input,Ag,pyridine,pSERS,chemical label,0.4084835350513458
derivative_input,Ag,pyridine,pSERS,substrate,0.09934695065021515
derivative_input,Ag,pyridine,pSERS,chemical label,0.432943731546402
derivative_input,Ag,pyridine,pSERS,substrate,0.13175825774669647
derivative_input,Ag,pyridine,pSERS,chemical label,0.40340569615364075
derivative_input,Ag,pyridine,pSERS,substrate,0.12580525875091553
derivative_input,Ag,pyridine,pSERS,chemical label,0.41799741983413696
derivative_input,Ag,pyridine,pSERS,substrate,0.13779091835021973
derivative_input,Ag,pyridine,pSERS,chemical label,0.3942093551158905
derivative_input,Ag,pyridine,pSERS,substrate,0.0826588124036789
derivative_input,Ag,pyridine,pSERS,chemical label,0.42853909730911255
derivative_input,Ag,pyridine,pSERS,substrate,0.12893445789813995
derivative_input,Ag,pyridine,pSERS,chemical label,0.4163936376571655
derivative_input,Ag,pyridine,pSERS,substrate,0.1309824138879776
derivative_input,Ag,pyridine,pSERS,chemical label,0.4055301249027252
derivative_input,Ag,pyridine,pSERS,substrate,0.09918411076068878
derivative_input,Ag,pyridine,pSERS,chemical label,0.4101227819919586
derivative_input,Ag,pyridine,pSERS,substrate,0.12811148166656494
derivative_input,Ag,pyridine,pSERS,chemical label,0.3549257516860962
derivative_input,Ag,pyridine,pSERS,substrate,0.08182112127542496
derivative_input,Ag,pyridine,pSERS,chemical label,0.3895503282546997
derivative_input,Ag,pyridine,pSERS,substrate,0.11838389188051224
derivative_input,Ag,pyridine,pSERS,chemical label,0.41627851128578186
derivative_input,Ag,pyridine,pSERS,substrate,0.14411954581737518
derivative_input,Ag,pyridine,pSERS,chemical label,0.3942740857601166
derivative_input,Ag,pyridine,pSERS,substrate,0.12027531117200851
derivative_input,Ag,pyridine,pSERS,chemical label,0.40509915351867676
derivative_input,Ag,pyridine,pSERS,substrate,0.13453301787376404
derivative_input,Ag,pyridine,pSERS,chemical label,0.3414390981197357
