heldout_substrate_family,poster_axis,stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,observation_uid,true_label,predicted_label,prediction_confidence,test_class_supported,correct,instrument,sensor_family,substrate_family,source_substrate,target_analyte,localized_case
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,minimal_minmax,none,2026,poster_row_0166,4np,benzenethiol,0.8450569849851739,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,minimal_minmax,none,2026,poster_row_0167,4np,benzenethiol,0.9719433632328932,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,minimal_minmax,none,2026,poster_row_0168,4np,benzenethiol,0.7249975095511476,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,minimal_minmax,none,2026,poster_row_0169,4np,benzenethiol,0.7253262799465476,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,minimal_minmax,none,2026,poster_row_0170,4np,benzenethiol,0.8477867146103895,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,minimal_minmax,none,2026,poster_row_0171,4np,benzenethiol,0.5810392965899281,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,minimal_minmax,none,2026,poster_row_0172,4np,benzenethiol,0.9553834458183724,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,minimal_minmax,none,2026,poster_row_0173,4np,benzenethiol,0.9260952142624609,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,minimal_minmax,none,2026,poster_row_0174,4np,benzenethiol,0.7953628078289411,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,minimal_minmax,none,2026,poster_row_0150,4np,benzenethiol,2.2177919744975205,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,minimal_minmax,none,2026,poster_row_0151,4np,benzenethiol,2.1082681875717615,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,minimal_minmax,none,2026,poster_row_0152,4np,benzenethiol,2.2383372424959673,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,minimal_minmax,none,2026,poster_row_0153,4np,benzenethiol,2.178304763386035,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,minimal_minmax,none,2026,poster_row_0154,4np,benzenethiol,2.209174032515009,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,minimal_minmax,none,2026,poster_row_0155,4np,benzenethiol,2.2384981426676167,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,minimal_minmax,none,2026,poster_row_0156,4np,pyridine,2.1621343201656784,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,minimal_minmax,none,2026,poster_row_0157,4np,benzenethiol,2.2300789168401116,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,minimal_minmax,none,2026,poster_row_0158,4np,pyridine,2.13298167202628,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,minimal_minmax,none,2026,poster_row_0159,4np,benzenethiol,2.1504791527838187,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,minimal_minmax,none,2026,poster_row_0160,4np,benzenethiol,2.2207401909589146,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,minimal_minmax,none,2026,poster_row_0161,4np,benzenethiol,2.1658172575382815,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,minimal_minmax,none,2026,poster_row_0162,4np,4np,2.2000866778189714,True,True,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,minimal_minmax,none,2026,poster_row_0163,4np,4np,2.2300139357566997,True,True,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,minimal_minmax,none,2026,poster_row_0164,4np,benzenethiol,2.2184871860768878,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,minimal_minmax,none,2026,poster_row_0165,4np,benzenethiol,2.168295068113338,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,minimal_minmax,none,2026,poster_row_0166,4np,benzenethiol,2.2124532917369475,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,minimal_minmax,none,2026,poster_row_0167,4np,benzenethiol,2.2386671809944443,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,minimal_minmax,none,2026,poster_row_0168,4np,pyridine,2.144925520457959,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,minimal_minmax,none,2026,poster_row_0169,4np,benzenethiol,2.1186638558891024,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,minimal_minmax,none,2026,poster_row_0170,4np,benzenethiol,2.213659533052796,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,minimal_minmax,none,2026,poster_row_0171,4np,benzenethiol,2.1124372222334205,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,minimal_minmax,none,2026,poster_row_0172,4np,benzenethiol,2.2109549527375667,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,minimal_minmax,none,2026,poster_row_0173,4np,benzenethiol,2.2162264839109236,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,minimal_minmax,none,2026,poster_row_0174,4np,benzenethiol,2.154771158492051,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,arpls_minmax,none,2026,poster_row_0150,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,arpls_minmax,none,2026,poster_row_0151,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,arpls_minmax,none,2026,poster_row_0152,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,arpls_minmax,none,2026,poster_row_0153,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,arpls_minmax,none,2026,poster_row_0154,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,arpls_minmax,none,2026,poster_row_0155,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,arpls_minmax,none,2026,poster_row_0156,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,arpls_minmax,none,2026,poster_row_0157,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,arpls_minmax,none,2026,poster_row_0158,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,arpls_minmax,none,2026,poster_row_0159,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,arpls_minmax,none,2026,poster_row_0160,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,arpls_minmax,none,2026,poster_row_0161,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,arpls_minmax,none,2026,poster_row_0162,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,arpls_minmax,none,2026,poster_row_0163,4np,benzenethiol,0.999999999960663,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,arpls_minmax,none,2026,poster_row_0164,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,arpls_minmax,none,2026,poster_row_0165,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,arpls_minmax,none,2026,poster_row_0166,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,arpls_minmax,none,2026,poster_row_0167,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,arpls_minmax,none,2026,poster_row_0168,4np,pyridine,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,arpls_minmax,none,2026,poster_row_0169,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,arpls_minmax,none,2026,poster_row_0170,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,arpls_minmax,none,2026,poster_row_0171,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,arpls_minmax,none,2026,poster_row_0172,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,arpls_minmax,none,2026,poster_row_0173,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,arpls_minmax,none,2026,poster_row_0174,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,arpls_minmax,none,2026,poster_row_0150,4np,benzenethiol,0.9828685954687917,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,arpls_minmax,none,2026,poster_row_0151,4np,benzenethiol,0.7928422838341824,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,arpls_minmax,none,2026,poster_row_0152,4np,benzenethiol,0.9714284489263462,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,arpls_minmax,none,2026,poster_row_0153,4np,benzenethiol,0.8700614290577573,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,arpls_minmax,none,2026,poster_row_0154,4np,benzenethiol,0.9615205344335672,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,arpls_minmax,none,2026,poster_row_0155,4np,benzenethiol,0.9705090760746601,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,arpls_minmax,none,2026,poster_row_0156,4np,benzenethiol,0.8304311387662905,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,arpls_minmax,none,2026,poster_row_0157,4np,benzenethiol,0.9673504447967943,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,arpls_minmax,none,2026,poster_row_0158,4np,pyridine,0.6028203402788009,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,arpls_minmax,none,2026,poster_row_0159,4np,benzenethiol,0.7841866545142961,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,arpls_minmax,none,2026,poster_row_0160,4np,benzenethiol,0.8134326775997679,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,arpls_minmax,none,2026,poster_row_0161,4np,benzenethiol,0.852259989219624,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,arpls_minmax,none,2026,poster_row_0162,4np,benzenethiol,0.9539105785804158,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,arpls_minmax,none,2026,poster_row_0163,4np,benzenethiol,0.9352075329032875,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,arpls_minmax,none,2026,poster_row_0164,4np,benzenethiol,0.961419371572938,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,arpls_minmax,none,2026,poster_row_0165,4np,benzenethiol,0.6916012557688519,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,arpls_minmax,none,2026,poster_row_0166,4np,benzenethiol,0.9130364292104441,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,arpls_minmax,none,2026,poster_row_0167,4np,benzenethiol,0.9663496183232997,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,arpls_minmax,none,2026,poster_row_0168,4np,benzenethiol,0.8028198001490294,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,arpls_minmax,none,2026,poster_row_0169,4np,benzenethiol,0.8043986690346842,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,arpls_minmax,none,2026,poster_row_0170,4np,benzenethiol,0.8928038738057688,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,arpls_minmax,none,2026,poster_row_0171,4np,benzenethiol,0.7055446987207933,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,arpls_minmax,none,2026,poster_row_0172,4np,benzenethiol,0.8653862122722246,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,arpls_minmax,none,2026,poster_row_0173,4np,benzenethiol,0.9783682227171469,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,pca_logistic,arpls_minmax,none,2026,poster_row_0174,4np,benzenethiol,0.799330212818789,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,arpls_minmax,none,2026,poster_row_0150,4np,benzenethiol,2.2323364985088503,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,arpls_minmax,none,2026,poster_row_0151,4np,benzenethiol,2.102959851917646,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,arpls_minmax,none,2026,poster_row_0152,4np,benzenethiol,2.214011751419219,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,arpls_minmax,none,2026,poster_row_0153,4np,pyridine,2.059959900679506,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,arpls_minmax,none,2026,poster_row_0154,4np,benzenethiol,2.200889054856241,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,arpls_minmax,none,2026,poster_row_0155,4np,benzenethiol,2.2137243602068373,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,arpls_minmax,none,2026,poster_row_0156,4np,benzenethiol,2.146691338502174,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,arpls_minmax,none,2026,poster_row_0157,4np,benzenethiol,2.2023124116773207,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,arpls_minmax,none,2026,poster_row_0158,4np,pyridine,2.116277824790999,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,arpls_minmax,none,2026,poster_row_0159,4np,benzenethiol,2.1481731868211407,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,arpls_minmax,none,2026,poster_row_0160,4np,benzenethiol,2.181800748563549,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,arpls_minmax,none,2026,poster_row_0161,4np,benzenethiol,2.1565140714360576,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,arpls_minmax,none,2026,poster_row_0162,4np,benzenethiol,2.2150761348313193,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,arpls_minmax,none,2026,poster_row_0163,4np,benzenethiol,2.2015850167978424,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,arpls_minmax,none,2026,poster_row_0164,4np,benzenethiol,2.2111297556910507,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,arpls_minmax,none,2026,poster_row_0165,4np,benzenethiol,2.083465418624784,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,arpls_minmax,none,2026,poster_row_0166,4np,benzenethiol,2.1552685679896975,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,arpls_minmax,none,2026,poster_row_0167,4np,benzenethiol,2.1980474244429127,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,arpls_minmax,none,2026,poster_row_0168,4np,benzenethiol,2.1277242565606143,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,arpls_minmax,none,2026,poster_row_0169,4np,benzenethiol,2.1168412568065,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,arpls_minmax,none,2026,poster_row_0170,4np,benzenethiol,2.199084252502198,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,arpls_minmax,none,2026,poster_row_0171,4np,benzenethiol,2.1232335124255064,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,arpls_minmax,none,2026,poster_row_0172,4np,benzenethiol,2.1626546168211522,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,arpls_minmax,none,2026,poster_row_0173,4np,benzenethiol,2.2273406886909073,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,linear_svm,arpls_minmax,none,2026,poster_row_0174,4np,benzenethiol,2.154005200718214,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,derivative_1,none,2026,poster_row_0150,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,derivative_1,none,2026,poster_row_0151,4np,4np,1.0,True,True,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,derivative_1,none,2026,poster_row_0152,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,derivative_1,none,2026,poster_row_0153,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,derivative_1,none,2026,poster_row_0154,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,derivative_1,none,2026,poster_row_0155,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,derivative_1,none,2026,poster_row_0156,4np,4np,1.0,True,True,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,derivative_1,none,2026,poster_row_0157,4np,4np,1.0,True,True,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,derivative_1,none,2026,poster_row_0158,4np,4np,1.0,True,True,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,derivative_1,none,2026,poster_row_0159,4np,4np,1.0,True,True,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,derivative_1,none,2026,poster_row_0160,4np,4np,1.0,True,True,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,derivative_1,none,2026,poster_row_0161,4np,4np,1.0,True,True,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,derivative_1,none,2026,poster_row_0162,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,derivative_1,none,2026,poster_row_0163,4np,4np,1.0,True,True,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,derivative_1,none,2026,poster_row_0164,4np,4np,1.0,True,True,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,derivative_1,none,2026,poster_row_0165,4np,4np,1.0,True,True,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,derivative_1,none,2026,poster_row_0166,4np,4np,1.0,True,True,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
Ag,400-1800_common,poster,poster_holdout_Ag,,classical,nearest_centroid,derivative_1,none,2026,poster_row_0167,4np,benzenethiol,1.0,True,False,,,Ag,AgNP,4np,heldout_Ag__AgNP_source__4np
