held_unknown,outer_fold,inner_fold,surrogate_unknown,partition,rows,masters,analytes,instruments,sensor_families
4_ANPP,2,3,acetaminophen,validation_surrogate_unknown,13,3,1,5,1
4_ANPP,2,3,benzyl_fentanyl,excluded_outer_known_test,75,13,6,10,3
4_ANPP,2,3,benzyl_fentanyl,excluded_surrogate_training,70,10,1,8,2
4_ANPP,2,3,benzyl_fentanyl,locked_held_unknown,102,11,1,8,2
4_ANPP,2,3,benzyl_fentanyl,locked_stress,94,40,6,9,4
4_ANPP,2,3,benzyl_fentanyl,train_known,175,25,5,10,4
4_ANPP,2,3,benzyl_fentanyl,validation_known,60,8,5,10,4
4_ANPP,2,3,benzyl_fentanyl,validation_surrogate_unknown,22,2,1,5,2
4_ANPP,2,3,ethanol,excluded_outer_known_test,75,13,6,10,3
4_ANPP,2,3,ethanol,excluded_surrogate_training,24,5,1,4,2
4_ANPP,2,3,ethanol,locked_held_unknown,102,11,1,8,2
4_ANPP,2,3,ethanol,locked_stress,94,40,6,9,4
4_ANPP,2,3,ethanol,train_known,221,30,5,10,4
4_ANPP,2,3,ethanol,validation_known,73,9,5,10,4
4_ANPP,2,3,ethanol,validation_surrogate_unknown,9,1,1,3,2
4_ANPP,2,3,ethyl_paraoxon,excluded_outer_known_test,75,13,6,10,3
4_ANPP,2,3,ethyl_paraoxon,excluded_surrogate_training,22,4,1,3,2
4_ANPP,2,3,ethyl_paraoxon,locked_held_unknown,102,11,1,8,2
4_ANPP,2,3,ethyl_paraoxon,locked_stress,94,40,6,9,4
4_ANPP,2,3,ethyl_paraoxon,train_known,223,31,5,10,4
4_ANPP,2,3,ethyl_paraoxon,validation_known,70,9,5,10,4
4_ANPP,2,3,ethyl_paraoxon,validation_surrogate_unknown,12,1,1,3,2
4_ANPP,2,4,4_nitrophenol,excluded_outer_known_test,75,13,6,10,3
4_ANPP,2,4,4_nitrophenol,excluded_surrogate_training,49,4,1,5,3
4_ANPP,2,4,4_nitrophenol,locked_held_unknown,102,11,1,8,2
4_ANPP,2,4,4_nitrophenol,locked_stress,94,40,6,9,4
4_ANPP,2,4,4_nitrophenol,train_known,202,28,5,10,4
4_ANPP,2,4,4_nitrophenol,validation_known,62,11,5,10,3
4_ANPP,2,4,4_nitrophenol,validation_surrogate_unknown,14,2,1,4,2
4_ANPP,2,4,acetaminophen,excluded_outer_known_test,75,13,6,10,3
4_ANPP,2,4,acetaminophen,excluded_surrogate_training,40,8,1,5,2
4_ANPP,2,4,acetaminophen,locked_held_unknown,102,11,1,8,2
4_ANPP,2,4,acetaminophen,locked_stress,94,40,6,9,4
4_ANPP,2,4,acetaminophen,train_known,211,24,5,10,4
4_ANPP,2,4,acetaminophen,validation_known,64,11,5,10,3
4_ANPP,2,4,acetaminophen,validation_surrogate_unknown,12,2,1,5,2
4_ANPP,2,4,benzyl_fentanyl,excluded_outer_known_test,75,13,6,10,3
4_ANPP,2,4,benzyl_fentanyl,excluded_surrogate_training,69,8,1,8,3
4_ANPP,2,4,benzyl_fentanyl,locked_held_unknown,102,11,1,8,2
4_ANPP,2,4,benzyl_fentanyl,locked_stress,94,40,6,9,4
4_ANPP,2,4,benzyl_fentanyl,train_known,182,24,5,10,4
4_ANPP,2,4,benzyl_fentanyl,validation_known,53,9,5,10,3
4_ANPP,2,4,benzyl_fentanyl,validation_surrogate_unknown,23,4,1,5,2
4_ANPP,2,4,ethanol,excluded_outer_known_test,75,13,6,10,3
4_ANPP,2,4,ethanol,excluded_surrogate_training,26,4,1,4,2
4_ANPP,2,4,ethanol,locked_held_unknown,102,11,1,8,2
4_ANPP,2,4,ethanol,locked_stress,94,40,6,9,4
4_ANPP,2,4,ethanol,train_known,225,28,5,10,4
4_ANPP,2,4,ethanol,validation_known,69,11,5,10,3
4_ANPP,2,4,ethanol,validation_surrogate_unknown,7,2,1,2,2
4_ANPP,2,4,ethyl_paraoxon,excluded_outer_known_test,75,13,6,10,3
4_ANPP,2,4,ethyl_paraoxon,excluded_surrogate_training,27,4,1,4,2
4_ANPP,2,4,ethyl_paraoxon,locked_held_unknown,102,11,1,8,2
4_ANPP,2,4,ethyl_paraoxon,locked_stress,94,40,6,9,4
4_ANPP,2,4,ethyl_paraoxon,train_known,224,28,5,10,4
4_ANPP,2,4,ethyl_paraoxon,validation_known,69,12,5,10,3
4_ANPP,2,4,ethyl_paraoxon,validation_surrogate_unknown,7,1,1,2,2
4_ANPP,3,0,4_nitrophenol,excluded_outer_known_test,82,10,6,10,4
4_ANPP,3,0,4_nitrophenol,excluded_surrogate_training,43,5,1,5,3
4_ANPP,3,0,4_nitrophenol,locked_held_unknown,102,11,1,8,2
4_ANPP,3,0,4_nitrophenol,locked_stress,94,40,6,9,4
4_ANPP,3,0,4_nitrophenol,train_known,194,31,5,10,3
4_ANPP,3,0,4_nitrophenol,validation_known,67,11,5,10,3
4_ANPP,3,0,4_nitrophenol,validation_surrogate_unknown,16,1,1,4,3
4_ANPP,3,0,acetaminophen,excluded_outer_known_test,82,10,6,10,4
4_ANPP,3,0,acetaminophen,excluded_surrogate_training,39,6,1,6,2
4_ANPP,3,0,acetaminophen,locked_held_unknown,102,11,1,8,2
4_ANPP,3,0,acetaminophen,locked_stress,94,40,6,9,4
4_ANPP,3,0,acetaminophen,train_known,198,30,5,10,4
4_ANPP,3,0,acetaminophen,validation_known,69,10,5,10,4
4_ANPP,3,0,acetaminophen,validation_surrogate_unknown,14,2,1,5,1
4_ANPP,3,0,benzyl_fentanyl,excluded_outer_known_test,82,10,6,10,4
4_ANPP,3,0,benzyl_fentanyl,excluded_surrogate_training,69,10,1,9,2
4_ANPP,3,0,benzyl_fentanyl,locked_held_unknown,102,11,1,8,2
4_ANPP,3,0,benzyl_fentanyl,locked_stress,94,40,6,9,4
4_ANPP,3,0,benzyl_fentanyl,train_known,168,26,5,10,4
4_ANPP,3,0,benzyl_fentanyl,validation_known,59,9,5,10,4
4_ANPP,3,0,benzyl_fentanyl,validation_surrogate_unknown,24,3,1,8,2
4_ANPP,3,0,ethanol,excluded_outer_known_test,82,10,6,10,4
4_ANPP,3,0,ethanol,excluded_surrogate_training,22,6,1,4,2
4_ANPP,3,0,ethanol,locked_held_unknown,102,11,1,8,2
4_ANPP,3,0,ethanol,locked_stress,94,40,6,9,4
4_ANPP,3,0,ethanol,train_known,215,30,5,10,4
4_ANPP,3,0,ethanol,validation_known,75,10,5,10,4
4_ANPP,3,0,ethanol,validation_surrogate_unknown,8,2,1,4,2
4_ANPP,3,0,ethyl_paraoxon,excluded_outer_known_test,82,10,6,10,4
4_ANPP,3,0,ethyl_paraoxon,excluded_surrogate_training,22,4,1,3,2
4_ANPP,3,0,ethyl_paraoxon,locked_held_unknown,102,11,1,8,2
4_ANPP,3,0,ethyl_paraoxon,locked_stress,94,40,6,9,4
4_ANPP,3,0,ethyl_paraoxon,train_known,215,32,5,10,4
4_ANPP,3,0,ethyl_paraoxon,validation_known,80,10,5,10,4
4_ANPP,3,0,ethyl_paraoxon,validation_surrogate_unknown,3,2,1,1,1
4_ANPP,3,1,4_nitrophenol,excluded_outer_known_test,82,10,6,10,4
4_ANPP,3,1,4_nitrophenol,excluded_surrogate_training,41,5,1,4,3
4_ANPP,3,1,4_nitrophenol,locked_held_unknown,102,11,1,8,2
4_ANPP,3,1,4_nitrophenol,locked_stress,94,40,6,9,4
4_ANPP,3,1,4_nitrophenol,train_known,193,33,5,10,3
4_ANPP,3,1,4_nitrophenol,validation_known,68,9,5,10,3
4_ANPP,3,1,4_nitrophenol,validation_surrogate_unknown,18,1,1,5,3
4_ANPP,3,1,acetaminophen,excluded_outer_known_test,82,10,6,10,4
4_ANPP,3,1,acetaminophen,excluded_surrogate_training,40,5,1,6,2
4_ANPP,3,1,acetaminophen,locked_held_unknown,102,11,1,8,2
4_ANPP,3,1,acetaminophen,locked_stress,94,40,6,9,4
4_ANPP,3,1,acetaminophen,train_known,194,33,5,10,4
4_ANPP,3,1,acetaminophen,validation_known,73,7,5,9,4
4_ANPP,3,1,acetaminophen,validation_surrogate_unknown,13,3,1,5,2
4_ANPP,3,1,benzyl_fentanyl,excluded_outer_known_test,82,10,6,10,4
4_ANPP,3,1,benzyl_fentanyl,excluded_surrogate_training,70,10,1,9,2
4_ANPP,3,1,benzyl_fentanyl,locked_held_unknown,102,11,1,8,2
4_ANPP,3,1,benzyl_fentanyl,locked_stress,94,40,6,9,4
4_ANPP,3,1,benzyl_fentanyl,train_known,164,28,5,10,4
4_ANPP,3,1,benzyl_fentanyl,validation_known,63,7,5,10,4
4_ANPP,3,1,benzyl_fentanyl,validation_surrogate_unknown,23,3,1,7,2
4_ANPP,3,1,ethanol,excluded_outer_known_test,82,10,6,10,4
4_ANPP,3,1,ethanol,excluded_surrogate_training,21,7,1,4,2
4_ANPP,3,1,ethanol,locked_held_unknown,102,11,1,8,2
4_ANPP,3,1,ethanol,locked_stress,94,40,6,9,4
4_ANPP,3,1,ethanol,train_known,213,31,5,10,4
4_ANPP,3,1,ethanol,validation_known,77,9,5,10,4
4_ANPP,3,1,ethanol,validation_surrogate_unknown,9,1,1,4,2
4_ANPP,3,1,ethyl_paraoxon,excluded_outer_known_test,82,10,6,10,4
4_ANPP,3,1,ethyl_paraoxon,excluded_surrogate_training,13,5,1,2,2
4_ANPP,3,1,ethyl_paraoxon,locked_held_unknown,102,11,1,8,2
4_ANPP,3,1,ethyl_paraoxon,locked_stress,94,40,6,9,4
4_ANPP,3,1,ethyl_paraoxon,train_known,221,33,5,10,4
4_ANPP,3,1,ethyl_paraoxon,validation_known,74,9,5,10,4
4_ANPP,3,1,ethyl_paraoxon,validation_surrogate_unknown,12,1,1,3,2
4_ANPP,3,2,4_nitrophenol,excluded_outer_known_test,82,10,6,10,4
4_ANPP,3,2,4_nitrophenol,excluded_surrogate_training,48,4,1,5,3
4_ANPP,3,2,4_nitrophenol,locked_held_unknown,102,11,1,8,2
4_ANPP,3,2,4_nitrophenol,locked_stress,94,40,6,9,4
4_ANPP,3,2,4_nitrophenol,train_known,197,31,5,10,3
4_ANPP,3,2,4_nitrophenol,validation_known,64,11,5,10,3
4_ANPP,3,2,4_nitrophenol,validation_surrogate_unknown,11,2,1,3,2
4_ANPP,3,2,acetaminophen,excluded_outer_known_test,82,10,6,10,4
4_ANPP,3,2,acetaminophen,excluded_surrogate_training,39,7,1,5,2
4_ANPP,3,2,acetaminophen,locked_held_unknown,102,11,1,8,2
4_ANPP,3,2,acetaminophen,locked_stress,94,40,6,9,4
4_ANPP,3,2,acetaminophen,train_known,206,28,5,10,4
4_ANPP,3,2,acetaminophen,validation_known,61,12,5,10,3
4_ANPP,3,2,acetaminophen,validation_surrogate_unknown,14,1,1,5,2
4_ANPP,3,2,benzyl_fentanyl,excluded_outer_known_test,82,10,6,10,4
4_ANPP,3,2,benzyl_fentanyl,excluded_surrogate_training,70,10,1,8,2
4_ANPP,3,2,benzyl_fentanyl,locked_held_unknown,102,11,1,8,2
4_ANPP,3,2,benzyl_fentanyl,locked_stress,94,40,6,9,4
4_ANPP,3,2,benzyl_fentanyl,train_known,175,25,5,10,4
4_ANPP,3,2,benzyl_fentanyl,validation_known,52,10,5,9,3
4_ANPP,3,2,benzyl_fentanyl,validation_surrogate_unknown,23,3,1,9,2
4_ANPP,3,2,ethanol,excluded_outer_known_test,82,10,6,10,4
4_ANPP,3,2,ethanol,excluded_surrogate_training,24,5,1,4,2
4_ANPP,3,2,ethanol,locked_held_unknown,102,11,1,8,2
4_ANPP,3,2,ethanol,locked_stress,94,40,6,9,4
4_ANPP,3,2,ethanol,train_known,221,30,5,10,4
4_ANPP,3,2,ethanol,validation_known,69,10,5,10,3
4_ANPP,3,2,ethanol,validation_surrogate_unknown,6,3,1,2,1
4_ANPP,3,2,ethyl_paraoxon,excluded_outer_known_test,82,10,6,10,4
4_ANPP,3,2,ethyl_paraoxon,excluded_surrogate_training,22,4,1,3,2
4_ANPP,3,2,ethyl_paraoxon,locked_held_unknown,102,11,1,8,2
4_ANPP,3,2,ethyl_paraoxon,locked_stress,94,40,6,9,4
4_ANPP,3,2,ethyl_paraoxon,train_known,223,31,5,10,4
4_ANPP,3,2,ethyl_paraoxon,validation_known,72,11,5,10,3
4_ANPP,3,2,ethyl_paraoxon,validation_surrogate_unknown,3,2,1,2,1
4_ANPP,3,4,4_nitrophenol,excluded_outer_known_test,82,10,6,10,4
4_ANPP,3,4,4_nitrophenol,excluded_surrogate_training,45,4,1,5,3
4_ANPP,3,4,4_nitrophenol,locked_held_unknown,102,11,1,8,2
4_ANPP,3,4,4_nitrophenol,locked_stress,94,40,6,9,4
4_ANPP,3,4,4_nitrophenol,train_known,199,31,5,10,3
4_ANPP,3,4,4_nitrophenol,validation_known,62,11,5,10,3
4_ANPP,3,4,4_nitrophenol,validation_surrogate_unknown,14,2,1,4,2
4_ANPP,3,4,acetaminophen,excluded_outer_known_test,82,10,6,10,4
4_ANPP,3,4,acetaminophen,excluded_surrogate_training,41,6,1,6,2
4_ANPP,3,4,acetaminophen,locked_held_unknown,102,11,1,8,2
4_ANPP,3,4,acetaminophen,locked_stress,94,40,6,9,4
4_ANPP,3,4,acetaminophen,train_known,203,29,5,10,4
4_ANPP,3,4,acetaminophen,validation_known,64,11,5,10,3
4_ANPP,3,4,acetaminophen,validation_surrogate_unknown,12,2,1,5,2
4_ANPP,3,4,benzyl_fentanyl,excluded_outer_known_test,82,10,6,10,4
4_ANPP,3,4,benzyl_fentanyl,excluded_surrogate_training,70,9,1,9,2
4_ANPP,3,4,benzyl_fentanyl,locked_held_unknown,102,11,1,8,2
4_ANPP,3,4,benzyl_fentanyl,locked_stress,94,40,6,9,4
4_ANPP,3,4,benzyl_fentanyl,train_known,174,26,5,10,4
4_ANPP,3,4,benzyl_fentanyl,validation_known,53,9,5,10,3
4_ANPP,3,4,benzyl_fentanyl,validation_surrogate_unknown,23,4,1,5,2
4_ANPP,3,4,ethanol,excluded_outer_known_test,82,10,6,10,4
4_ANPP,3,4,ethanol,excluded_surrogate_training,23,6,1,4,2
4_ANPP,3,4,ethanol,locked_held_unknown,102,11,1,8,2
4_ANPP,3,4,ethanol,locked_stress,94,40,6,9,4
4_ANPP,3,4,ethanol,train_known,221,29,5,10,4
4_ANPP,3,4,ethanol,validation_known,69,11,5,10,3
4_ANPP,3,4,ethanol,validation_surrogate_unknown,7,2,1,2,2
4_ANPP,3,4,ethyl_paraoxon,excluded_outer_known_test,82,10,6,10,4
4_ANPP,3,4,ethyl_paraoxon,excluded_surrogate_training,18,5,1,3,2
4_ANPP,3,4,ethyl_paraoxon,locked_held_unknown,102,11,1,8,2
4_ANPP,3,4,ethyl_paraoxon,locked_stress,94,40,6,9,4
4_ANPP,3,4,ethyl_paraoxon,train_known,226,30,5,10,4
4_ANPP,3,4,ethyl_paraoxon,validation_known,69,12,5,10,3
4_ANPP,3,4,ethyl_paraoxon,validation_surrogate_unknown,7,1,1,2,2
4_ANPP,4,0,4_nitrophenol,excluded_outer_known_test,76,13,6,10,3
4_ANPP,4,0,4_nitrophenol,excluded_surrogate_training,44,5,1,5,3
4_ANPP,4,0,4_nitrophenol,locked_held_unknown,102,11,1,8,2
4_ANPP,4,0,4_nitrophenol,locked_stress,94,40,6,9,4
4_ANPP,4,0,4_nitrophenol,train_known,199,28,5,10,4
4_ANPP,4,0,4_nitrophenol,validation_known,67,11,5,10,3
4_ANPP,4,0,4_nitrophenol,validation_surrogate_unknown,16,1,1,4,3
4_ANPP,4,0,acetaminophen,excluded_outer_known_test,76,13,6,10,3
4_ANPP,4,0,acetaminophen,excluded_surrogate_training,40,7,1,6,2
4_ANPP,4,0,acetaminophen,locked_held_unknown,102,11,1,8,2
4_ANPP,4,0,acetaminophen,locked_stress,94,40,6,9,4
4_ANPP,4,0,acetaminophen,train_known,203,26,5,10,4
4_ANPP,4,0,acetaminophen,validation_known,69,10,5,10,4
4_ANPP,4,0,acetaminophen,validation_surrogate_unknown,14,2,1,5,1
4_ANPP,4,0,benzyl_fentanyl,excluded_outer_known_test,76,13,6,10,3
4_ANPP,4,0,benzyl_fentanyl,excluded_surrogate_training,68,8,1,9,3
4_ANPP,4,0,benzyl_fentanyl,locked_held_unknown,102,11,1,8,2
4_ANPP,4,0,benzyl_fentanyl,locked_stress,94,40,6,9,4
4_ANPP,4,0,benzyl_fentanyl,train_known,175,25,5,10,4
4_ANPP,4,0,benzyl_fentanyl,validation_known,59,9,5,10,4
4_ANPP,4,0,benzyl_fentanyl,validation_surrogate_unknown,24,3,1,8,2
4_ANPP,4,0,ethanol,excluded_outer_known_test,76,13,6,10,3
4_ANPP,4,0,ethanol,excluded_surrogate_training,24,5,1,4,2
4_ANPP,4,0,ethanol,locked_held_unknown,102,11,1,8,2
4_ANPP,4,0,ethanol,locked_stress,94,40,6,9,4
4_ANPP,4,0,ethanol,train_known,219,28,5,10,4
4_ANPP,4,0,ethanol,validation_known,75,10,5,10,4
4_ANPP,4,0,ethanol,validation_surrogate_unknown,8,2,1,4,2
4_ANPP,4,0,ethyl_paraoxon,excluded_outer_known_test,76,13,6,10,3
4_ANPP,4,0,ethyl_paraoxon,excluded_surrogate_training,27,4,1,4,2
4_ANPP,4,0,ethyl_paraoxon,locked_held_unknown,102,11,1,8,2
4_ANPP,4,0,ethyl_paraoxon,locked_stress,94,40,6,9,4
4_ANPP,4,0,ethyl_paraoxon,train_known,216,29,5,10,4
4_ANPP,4,0,ethyl_paraoxon,validation_known,80,10,5,10,4
4_ANPP,4,0,ethyl_paraoxon,validation_surrogate_unknown,3,2,1,1,1
4_ANPP,4,1,4_nitrophenol,excluded_outer_known_test,76,13,6,10,3
4_ANPP,4,1,4_nitrophenol,excluded_surrogate_training,42,5,1,5,3
4_ANPP,4,1,4_nitrophenol,locked_held_unknown,102,11,1,8,2
4_ANPP,4,1,4_nitrophenol,locked_stress,94,40,6,9,4
4_ANPP,4,1,4_nitrophenol,train_known,198,30,5,10,4
4_ANPP,4,1,4_nitrophenol,validation_known,68,9,5,10,3
4_ANPP,4,1,4_nitrophenol,validation_surrogate_unknown,18,1,1,5,3
4_ANPP,4,1,acetaminophen,excluded_outer_known_test,76,13,6,10,3
4_ANPP,4,1,acetaminophen,excluded_surrogate_training,41,6,1,6,2
4_ANPP,4,1,acetaminophen,locked_held_unknown,102,11,1,8,2
4_ANPP,4,1,acetaminophen,locked_stress,94,40,6,9,4
4_ANPP,4,1,acetaminophen,train_known,199,29,5,10,4
4_ANPP,4,1,acetaminophen,validation_known,73,7,5,9,4
4_ANPP,4,1,acetaminophen,validation_surrogate_unknown,13,3,1,5,2
4_ANPP,4,1,benzyl_fentanyl,excluded_outer_known_test,76,13,6,10,3
4_ANPP,4,1,benzyl_fentanyl,excluded_surrogate_training,69,8,1,9,3
4_ANPP,4,1,benzyl_fentanyl,locked_held_unknown,102,11,1,8,2
4_ANPP,4,1,benzyl_fentanyl,locked_stress,94,40,6,9,4
4_ANPP,4,1,benzyl_fentanyl,train_known,171,27,5,10,4
4_ANPP,4,1,benzyl_fentanyl,validation_known,63,7,5,10,4
4_ANPP,4,1,benzyl_fentanyl,validation_surrogate_unknown,23,3,1,7,2
4_ANPP,4,1,ethanol,excluded_outer_known_test,76,13,6,10,3
4_ANPP,4,1,ethanol,excluded_surrogate_training,23,6,1,4,2
4_ANPP,4,1,ethanol,locked_held_unknown,102,11,1,8,2
4_ANPP,4,1,ethanol,locked_stress,94,40,6,9,4
4_ANPP,4,1,ethanol,train_known,217,29,5,10,4
4_ANPP,4,1,ethanol,validation_known,77,9,5,10,4
4_ANPP,4,1,ethanol,validation_surrogate_unknown,9,1,1,4,2
4_ANPP,4,1,ethyl_paraoxon,excluded_outer_known_test,76,13,6,10,3
4_ANPP,4,1,ethyl_paraoxon,excluded_surrogate_training,18,5,1,3,2
4_ANPP,4,1,ethyl_paraoxon,locked_held_unknown,102,11,1,8,2
4_ANPP,4,1,ethyl_paraoxon,locked_stress,94,40,6,9,4
4_ANPP,4,1,ethyl_paraoxon,train_known,222,30,5,10,4
4_ANPP,4,1,ethyl_paraoxon,validation_known,74,9,5,10,4
4_ANPP,4,1,ethyl_paraoxon,validation_surrogate_unknown,12,1,1,3,2
4_ANPP,4,2,4_nitrophenol,excluded_outer_known_test,76,13,6,10,3
4_ANPP,4,2,4_nitrophenol,excluded_surrogate_training,49,4,1,5,3
4_ANPP,4,2,4_nitrophenol,locked_held_unknown,102,11,1,8,2
4_ANPP,4,2,4_nitrophenol,locked_stress,94,40,6,9,4
4_ANPP,4,2,4_nitrophenol,train_known,202,28,5,10,4
4_ANPP,4,2,4_nitrophenol,validation_known,64,11,5,10,3
4_ANPP,4,2,4_nitrophenol,validation_surrogate_unknown,11,2,1,3,2
4_ANPP,4,2,acetaminophen,excluded_outer_known_test,76,13,6,10,3
4_ANPP,4,2,acetaminophen,excluded_surrogate_training,40,8,1,5,2
4_ANPP,4,2,acetaminophen,locked_held_unknown,102,11,1,8,2
4_ANPP,4,2,acetaminophen,locked_stress,94,40,6,9,4
4_ANPP,4,2,acetaminophen,train_known,211,24,5,10,4
4_ANPP,4,2,acetaminophen,validation_known,61,12,5,10,3
4_ANPP,4,2,acetaminophen,validation_surrogate_unknown,14,1,1,5,2
4_ANPP,4,2,benzyl_fentanyl,excluded_outer_known_test,76,13,6,10,3
4_ANPP,4,2,benzyl_fentanyl,excluded_surrogate_training,69,8,1,8,3
4_ANPP,4,2,benzyl_fentanyl,locked_held_unknown,102,11,1,8,2
4_ANPP,4,2,benzyl_fentanyl,locked_stress,94,40,6,9,4
4_ANPP,4,2,benzyl_fentanyl,train_known,182,24,5,10,4
4_ANPP,4,2,benzyl_fentanyl,validation_known,52,10,5,9,3
4_ANPP,4,2,benzyl_fentanyl,validation_surrogate_unknown,23,3,1,9,2
4_ANPP,4,2,ethanol,excluded_outer_known_test,76,13,6,10,3
4_ANPP,4,2,ethanol,excluded_surrogate_training,26,4,1,4,2
4_ANPP,4,2,ethanol,locked_held_unknown,102,11,1,8,2
4_ANPP,4,2,ethanol,locked_stress,94,40,6,9,4
4_ANPP,4,2,ethanol,train_known,225,28,5,10,4
4_ANPP,4,2,ethanol,validation_known,69,10,5,10,3
4_ANPP,4,2,ethanol,validation_surrogate_unknown,6,3,1,2,1
4_ANPP,4,2,ethyl_paraoxon,excluded_outer_known_test,76,13,6,10,3
4_ANPP,4,2,ethyl_paraoxon,excluded_surrogate_training,27,4,1,4,2
4_ANPP,4,2,ethyl_paraoxon,locked_held_unknown,102,11,1,8,2
4_ANPP,4,2,ethyl_paraoxon,locked_stress,94,40,6,9,4
4_ANPP,4,2,ethyl_paraoxon,train_known,224,28,5,10,4
4_ANPP,4,2,ethyl_paraoxon,validation_known,72,11,5,10,3
4_ANPP,4,2,ethyl_paraoxon,validation_surrogate_unknown,3,2,1,2,1
4_ANPP,4,3,4_nitrophenol,excluded_outer_known_test,76,13,6,10,3
4_ANPP,4,3,4_nitrophenol,excluded_surrogate_training,45,4,1,5,3
4_ANPP,4,3,4_nitrophenol,locked_held_unknown,102,11,1,8,2
4_ANPP,4,3,4_nitrophenol,locked_stress,94,40,6,9,4
4_ANPP,4,3,4_nitrophenol,train_known,199,31,5,10,3
4_ANPP,4,3,4_nitrophenol,validation_known,67,8,5,10,4
4_ANPP,4,3,4_nitrophenol,validation_surrogate_unknown,15,2,1,4,3
4_ANPP,4,3,acetaminophen,excluded_outer_known_test,76,13,6,10,3
4_ANPP,4,3,acetaminophen,excluded_surrogate_training,41,6,1,6,2
4_ANPP,4,3,acetaminophen,locked_held_unknown,102,11,1,8,2
4_ANPP,4,3,acetaminophen,locked_stress,94,40,6,9,4
4_ANPP,4,3,acetaminophen,train_known,203,29,5,10,4
4_ANPP,4,3,acetaminophen,validation_known,69,7,5,10,4
4_ANPP,4,3,acetaminophen,validation_surrogate_unknown,13,3,1,5,1
4_ANPP,4,3,benzyl_fentanyl,excluded_outer_known_test,76,13,6,10,3
4_ANPP,4,3,benzyl_fentanyl,excluded_surrogate_training,70,9,1,9,2
4_ANPP,4,3,benzyl_fentanyl,locked_held_unknown,102,11,1,8,2
4_ANPP,4,3,benzyl_fentanyl,locked_stress,94,40,6,9,4
4_ANPP,4,3,benzyl_fentanyl,train_known,174,26,5,10,4
4_ANPP,4,3,benzyl_fentanyl,validation_known,60,8,5,10,4
4_ANPP,4,3,benzyl_fentanyl,validation_surrogate_unknown,22,2,1,5,2
4_ANPP,4,3,ethanol,excluded_outer_known_test,76,13,6,10,3
4_ANPP,4,3,ethanol,excluded_surrogate_training,23,6,1,4,2
4_ANPP,4,3,ethanol,locked_held_unknown,102,11,1,8,2
4_ANPP,4,3,ethanol,locked_stress,94,40,6,9,4
4_ANPP,4,3,ethanol,train_known,221,29,5,10,4
4_ANPP,4,3,ethanol,validation_known,73,9,5,10,4
4_ANPP,4,3,ethanol,validation_surrogate_unknown,9,1,1,3,2
4_ANPP,4,3,ethyl_paraoxon,excluded_outer_known_test,76,13,6,10,3
4_ANPP,4,3,ethyl_paraoxon,excluded_surrogate_training,18,5,1,3,2
4_ANPP,4,3,ethyl_paraoxon,locked_held_unknown,102,11,1,8,2
4_ANPP,4,3,ethyl_paraoxon,locked_stress,94,40,6,9,4
4_ANPP,4,3,ethyl_paraoxon,train_known,226,30,5,10,4
4_ANPP,4,3,ethyl_paraoxon,validation_known,70,9,5,10,4
4_ANPP,4,3,ethyl_paraoxon,validation_surrogate_unknown,12,1,1,3,2
4_nitrophenol,0,1,4_ANPP,excluded_outer_known_test,87,13,6,10,3
4_nitrophenol,0,1,4_ANPP,excluded_surrogate_training,60,7,1,8,2
4_nitrophenol,0,1,4_ANPP,locked_held_unknown,92,8,1,5,3
4_nitrophenol,0,1,4_ANPP,locked_stress,80,37,6,9,3
4_nitrophenol,0,1,4_ANPP,train_known,193,30,5,10,4
4_nitrophenol,0,1,4_ANPP,validation_known,68,9,5,10,3
4_nitrophenol,0,1,4_ANPP,validation_surrogate_unknown,18,2,1,5,2
4_nitrophenol,0,1,acetaminophen,excluded_outer_known_test,87,13,6,10,3
4_nitrophenol,0,1,acetaminophen,excluded_surrogate_training,39,6,1,6,2
4_nitrophenol,0,1,acetaminophen,locked_held_unknown,92,8,1,5,3
4_nitrophenol,0,1,acetaminophen,locked_stress,80,37,6,9,3
4_nitrophenol,0,1,acetaminophen,train_known,214,31,5,10,4
4_nitrophenol,0,1,acetaminophen,validation_known,73,8,5,9,3
4_nitrophenol,0,1,acetaminophen,validation_surrogate_unknown,13,3,1,5,2
4_nitrophenol,0,1,benzyl_fentanyl,excluded_outer_known_test,87,13,6,10,3
4_nitrophenol,0,1,benzyl_fentanyl,excluded_surrogate_training,68,9,1,9,3
4_nitrophenol,0,1,benzyl_fentanyl,locked_held_unknown,92,8,1,5,3
4_nitrophenol,0,1,benzyl_fentanyl,locked_stress,80,37,6,9,3
4_nitrophenol,0,1,benzyl_fentanyl,train_known,185,28,5,10,3
4_nitrophenol,0,1,benzyl_fentanyl,validation_known,63,8,5,10,3
4_nitrophenol,0,1,benzyl_fentanyl,validation_surrogate_unknown,23,3,1,7,2
4_nitrophenol,0,1,ethanol,excluded_outer_known_test,87,13,6,10,3
4_nitrophenol,0,1,ethanol,excluded_surrogate_training,22,6,1,3,2
4_nitrophenol,0,1,ethanol,locked_held_unknown,92,8,1,5,3
4_nitrophenol,0,1,ethanol,locked_stress,80,37,6,9,3
4_nitrophenol,0,1,ethanol,train_known,231,31,5,10,4
4_nitrophenol,0,1,ethanol,validation_known,77,10,5,10,3
4_nitrophenol,0,1,ethanol,validation_surrogate_unknown,9,1,1,4,2
4_nitrophenol,0,1,ethyl_paraoxon,excluded_outer_known_test,87,13,6,10,3
